id,config_name,original_idx_in_config,time_step,noisy1_path,noisy2_path,clean_path
0,lin_asc_16_s1,0,1,noisy1/sample_000000_noisy1.pt,noisy2/sample_000000_noisy2.pt,clean/sample_000000_clean.pt
1,lin_asc_16_s1,1,50,noisy1/sample_000001_noisy1.pt,noisy2/sample_000001_noisy2.pt,clean/sample_000001_clean.pt
2,lin_asc_16_s1,2,99,noisy1/sample_000002_noisy1.pt,noisy2/sample_000002_noisy2.pt,clean/sample_000002_clean.pt
3,lin_asc_16_s1,3,148,noisy1/sample_000003_noisy1.pt,noisy2/sample_000003_noisy2.pt,clean/sample_000003_clean.pt
4,lin_asc_16_s1,4,197,noisy1/sample_000004_noisy1.pt,noisy2/sample_000004_noisy2.pt,clean/sample_000004_clean.pt
5,lin_asc_16_s1,5,246,noisy1/sample_000005_noisy1.pt,noisy2/sample_000005_noisy2.pt,clean/sample_000005_clean.pt
6,lin_asc_16_s1,6,295,noisy1/sample_000006_noisy1.pt,noisy2/sample_000006_noisy2.pt,clean/sample_000006_clean.pt
7,lin_asc_16_s1,7,344,noisy1/sample_000007_noisy1.pt,noisy2/sample_000007_noisy2.pt,clean/sample_000007_clean.pt
8,lin_asc_16_s1,8,393,noisy1/sample_000008_noisy1.pt,noisy2/sample_000008_noisy2.pt,clean/sample_000008_clean.pt
9,lin_asc_16_s1,9,442,noisy1/sample_000009_noisy1.pt,noisy2/sample_000009_noisy2.pt,clean/sample_000009_clean.pt
10,lin_asc_16_s1,10,491,noisy1/sample_000010_noisy1.pt,noisy2/sample_000010_noisy2.pt,clean/sample_000010_clean.pt
11,lin_asc_16_s1,11,540,noisy1/sample_000011_noisy1.pt,noisy2/sample_000011_noisy2.pt,clean/sample_000011_clean.pt
12,lin_asc_16_s1,12,589,noisy1/sample_000012_noisy1.pt,noisy2/sample_000012_noisy2.pt,clean/sample_000012_clean.pt
13,lin_asc_16_s1,13,638,noisy1/sample_000013_noisy1.pt,noisy2/sample_000013_noisy2.pt,clean/sample_000013_clean.pt
14,lin_asc_16_s1,14,687,noisy1/sample_000014_noisy1.pt,noisy2/sample_000014_noisy2.pt,clean/sample_000014_clean.pt
15,lin_asc_16_s1,15,736,noisy1/sample_000015_noisy1.pt,noisy2/sample_000015_noisy2.pt,clean/sample_000015_clean.pt
16,lin_asc_16_s1,16,785,noisy1/sample_000016_noisy1.pt,noisy2/sample_000016_noisy2.pt,clean/sample_000016_clean.pt
17,lin_asc_16_s1,17,834,noisy1/sample_000017_noisy1.pt,noisy2/sample_000017_noisy2.pt,clean/sample_000017_clean.pt
18,lin_asc_16_s1,18,883,noisy1/sample_000018_noisy1.pt,noisy2/sample_000018_noisy2.pt,clean/sample_000018_clean.pt
19,lin_asc_16_s1,19,932,noisy1/sample_000019_noisy1.pt,noisy2/sample_000019_noisy2.pt,clean/sample_000019_clean.pt
20,lin_asc_16_s1,20,981,noisy1/sample_000020_noisy1.pt,noisy2/sample_000020_noisy2.pt,clean/sample_000020_clean.pt
21,lin_asc_16_s1,21,1030,noisy1/sample_000021_noisy1.pt,noisy2/sample_000021_noisy2.pt,clean/sample_000021_clean.pt
22,lin_asc_16_s1,22,1079,noisy1/sample_000022_noisy1.pt,noisy2/sample_000022_noisy2.pt,clean/sample_000022_clean.pt
23,lin_asc_16_s1,23,1128,noisy1/sample_000023_noisy1.pt,noisy2/sample_000023_noisy2.pt,clean/sample_000023_clean.pt
24,lin_asc_16_s1,24,1177,noisy1/sample_000024_noisy1.pt,noisy2/sample_000024_noisy2.pt,clean/sample_000024_clean.pt
25,lin_asc_16_s1,25,1226,noisy1/sample_000025_noisy1.pt,noisy2/sample_000025_noisy2.pt,clean/sample_000025_clean.pt
26,lin_asc_16_s1,26,1275,noisy1/sample_000026_noisy1.pt,noisy2/sample_000026_noisy2.pt,clean/sample_000026_clean.pt
27,lin_asc_16_s1,27,1324,noisy1/sample_000027_noisy1.pt,noisy2/sample_000027_noisy2.pt,clean/sample_000027_clean.pt
28,lin_asc_16_s1,28,1373,noisy1/sample_000028_noisy1.pt,noisy2/sample_000028_noisy2.pt,clean/sample_000028_clean.pt
29,lin_asc_16_s1,29,1422,noisy1/sample_000029_noisy1.pt,noisy2/sample_000029_noisy2.pt,clean/sample_000029_clean.pt
30,lin_desc_16_s1,0,1,noisy1/sample_000030_noisy1.pt,noisy2/sample_000030_noisy2.pt,clean/sample_000030_clean.pt
31,lin_desc_16_s1,1,50,noisy1/sample_000031_noisy1.pt,noisy2/sample_000031_noisy2.pt,clean/sample_000031_clean.pt
32,lin_desc_16_s1,2,99,noisy1/sample_000032_noisy1.pt,noisy2/sample_000032_noisy2.pt,clean/sample_000032_clean.pt
33,lin_desc_16_s1,3,148,noisy1/sample_000033_noisy1.pt,noisy2/sample_000033_noisy2.pt,clean/sample_000033_clean.pt
34,lin_desc_16_s1,4,197,noisy1/sample_000034_noisy1.pt,noisy2/sample_000034_noisy2.pt,clean/sample_000034_clean.pt
35,lin_desc_16_s1,5,246,noisy1/sample_000035_noisy1.pt,noisy2/sample_000035_noisy2.pt,clean/sample_000035_clean.pt
36,lin_desc_16_s1,6,295,noisy1/sample_000036_noisy1.pt,noisy2/sample_000036_noisy2.pt,clean/sample_000036_clean.pt
37,lin_desc_16_s1,7,344,noisy1/sample_000037_noisy1.pt,noisy2/sample_000037_noisy2.pt,clean/sample_000037_clean.pt
38,lin_desc_16_s1,8,393,noisy1/sample_000038_noisy1.pt,noisy2/sample_000038_noisy2.pt,clean/sample_000038_clean.pt
39,lin_desc_16_s1,9,442,noisy1/sample_000039_noisy1.pt,noisy2/sample_000039_noisy2.pt,clean/sample_000039_clean.pt
40,lin_desc_16_s1,10,491,noisy1/sample_000040_noisy1.pt,noisy2/sample_000040_noisy2.pt,clean/sample_000040_clean.pt
41,lin_desc_16_s1,11,540,noisy1/sample_000041_noisy1.pt,noisy2/sample_000041_noisy2.pt,clean/sample_000041_clean.pt
42,lin_desc_16_s1,12,589,noisy1/sample_000042_noisy1.pt,noisy2/sample_000042_noisy2.pt,clean/sample_000042_clean.pt
43,lin_desc_16_s1,13,638,noisy1/sample_000043_noisy1.pt,noisy2/sample_000043_noisy2.pt,clean/sample_000043_clean.pt
44,lin_desc_16_s1,14,687,noisy1/sample_000044_noisy1.pt,noisy2/sample_000044_noisy2.pt,clean/sample_000044_clean.pt
45,lin_desc_16_s1,15,736,noisy1/sample_000045_noisy1.pt,noisy2/sample_000045_noisy2.pt,clean/sample_000045_clean.pt
46,lin_desc_16_s1,16,785,noisy1/sample_000046_noisy1.pt,noisy2/sample_000046_noisy2.pt,clean/sample_000046_clean.pt
47,lin_desc_16_s1,17,834,noisy1/sample_000047_noisy1.pt,noisy2/sample_000047_noisy2.pt,clean/sample_000047_clean.pt
48,lin_desc_16_s1,18,883,noisy1/sample_000048_noisy1.pt,noisy2/sample_000048_noisy2.pt,clean/sample_000048_clean.pt
49,lin_desc_16_s1,19,932,noisy1/sample_000049_noisy1.pt,noisy2/sample_000049_noisy2.pt,clean/sample_000049_clean.pt
50,lin_desc_16_s1,20,981,noisy1/sample_000050_noisy1.pt,noisy2/sample_000050_noisy2.pt,clean/sample_000050_clean.pt
51,lin_desc_16_s1,21,1030,noisy1/sample_000051_noisy1.pt,noisy2/sample_000051_noisy2.pt,clean/sample_000051_clean.pt
52,lin_desc_16_s1,22,1079,noisy1/sample_000052_noisy1.pt,noisy2/sample_000052_noisy2.pt,clean/sample_000052_clean.pt
53,lin_desc_16_s1,23,1128,noisy1/sample_000053_noisy1.pt,noisy2/sample_000053_noisy2.pt,clean/sample_000053_clean.pt
